video_id,comments
eRtwENJae0c,"[{'comment_text': 'Caramba, que conteúdo maravilhoso!!!! 👏', 'likes': 1}, {'comment_text': 'Conteúdo de qualidade! Parabéns e obrigado!', 'likes': 1}, {'comment_text': 'Quero video sobre as competições do kaggle', 'likes': 1}, {'comment_text': 'muito obrigado por esse video, meu caro! seus videos longos se tornaram meu preferido aqui no youtub^^', 'likes': 1}, {'comment_text': 'Assim, fazia tempo que eu não via algo com tanta qualidade', 'likes': 2}, {'comment_text': 'Grande Leon! Parabéns pelo video. Poderia virar uma série/playlist com vários algoritmos hein! hahaha. Abração e sucesso.', 'likes': 1}, {'comment_text': 'Vídeo massa, ainda não tinha utilizado esse parâmetro boosting_type, vou passar a testar !', 'likes': 1}, {'comment_text': 'O ruim do lgbm é a documentação. Nada explicativa', 'likes': 3}, {'comment_text': 'Catboost ""demora"" porque deve ser usado em datasets em que a maioria dos dados seja categórica. Quando é usado como recomendam, é rápido. E tem a questão do ordered boost diferente dos outros de gradient boosting que evita data leakage. Os resultados com tunagem default TB já são bem bons', 'likes': 3}, {'comment_text': 'Assistindo em 360p pra nem esperar o YouTube processar as resoluções maiores! Rs! \n\nParabéns pelo conteúdo!', 'likes': 1}]"
pWB-dNKdmrU,[]
I6ee5UsRauU,"[{'comment_text': 'Estou com o seguinte problema: tenho uma pasta onde armazeno diariamente XMLs e necessito decodificar e transformar para pandas para poder tratar essa base... como faço isso? Quero unificar os XMLs da pasta em Pandas DataFrame para poder proceder com tratamento e posterior exportação para 1 base só (JSON ou XML ou Excel).', 'likes': 1}]"
n5xMmjG3vgM,"[{'comment_text': 'curto e objetivo. Vlw! toda vez esqueço como ativar rs', 'likes': 2}]"
0_uhuKX74fQ,"[{'comment_text': 'Muito bom o conteúdo!', 'likes': 1}]"
4_7o212Vqpg,"[{'comment_text': 'Muito obrigada pela explicação. Estou aqui por conta de uma entrevista de emprego e pediu os requisitos para JSON.', 'likes': 1}, {'comment_text': ""Sensacional a explanação sobre Jason!\nJá conferi o vídeo completo também e recomendo!\nParabéns a toda a equipe do Let's Data!\n\n---\n\nSugestão de vídeos para o canal:\nIniciar uma série de vídeos com um projeto completo de Data Science.\nComo pode ser feito?\nA cada semana uma etapa do projeto é superada e com novas dicas para os\nseguidores do canal,\ne depois de algumas semanas o projeto\nfica completo com uma boa abordagem sobre os conceitos de ciência de dados.\n---\n\nEu sei que o canal tem uma proposta\nde curso, mas essa sugestão é para atrair\nmais entusiastas que buscam conhecimento.\nE uma dica plus! No curso o aluno com melhor\ndesempenho pode ganhar a chance de apresentar seu projeto\nno canal do Let's Data, contando o que aprendeu e explicando o seu projeto final!\nAcredito que pode agregar muito ao canal e também abrir\numa grande oportunidade para o aluno na jornada de ciência de dados.\n\n\nSaúde e sucesso a todos!"", 'likes': 1}]"
7SyEEMhhUhg,"[{'comment_text': 'Coloquem no spotify por favor!', 'likes': 1}, {'comment_text': 'Eu sonhava há 20 anos atrás em passar no PEE da Embraer. Reprovei na prova, difícil demais. Hoje estou feliz sendo cientista de dados.', 'likes': 2}, {'comment_text': 'Capitães da areia é muito bom mesmo', 'likes': 1}]"
ogpVuxNM2Hc,"[{'comment_text': ""no meu aparece: 'virtualenv' is not recognized as an internal or external command,\r\noperable program or batch file."", 'likes': 0}]"
xx2eZgFB9jA,"[{'comment_text': 'eu faço Ciencia analise e engenharia, mas sou assistente de Dados kkkkkk. Parabéns pelo Canal pessoal, aprendendo bastante com vocês aqui.', 'likes': 1}]"
fEn5cnYnDnI,"[{'comment_text': 'Explicação Top, por que algumas bibliotecas( Por exemplo a Dlib ) não funcionam em ambientes virtuais quando instaladas via pip install dlib dentro do terminal do ambiente virtual?', 'likes': 1}]"
2-b1pIMt2hw,"[{'comment_text': 'chutando, acho q é a pena da parte de traz da flecha', 'likes': 1}]"
_I1KantHjuE,[]
0gGHERM-R9k,"[{'comment_text': 'Graaande aluno Rocha Andrade da bravo 08 👏🏼', 'likes': 1}]"
m7MMcwnumFY,[]
yPmGl7JyqLI,[]
0uBZT9v62UY,"[{'comment_text': 'Cara isso é um achado para mim. Tenho arquivos gigantes e demora pacas para atualizar. Vc me deu uma luz! Sua aula muito boa, didática nota 10.', 'likes': 2}, {'comment_text': 'Tamo aqui de novo!', 'likes': 1}, {'comment_text': 'Leon parabéns pela didática e pelo vídeo. Fiquei com uma dúvida, hoje tenho um script que convert dbf em csv via bash (uso o dbview), existe algum script que gera o csv em feather sem carregar o csv em um pandas? De preferência via bash', 'likes': 2}, {'comment_text': 'Vcs vendem algum curso?', 'likes': 3}]"
Fi4tgkL-GlE,"[{'comment_text': 'Falando em bolsas pra mestrado fora etc. Como encontrar exatamente ? Nos sites das universidades mesmo ?', 'likes': 1}]"
RBZ6JKNSl-0,"[{'comment_text': 'Cara, não sei se VC notou mas seu conteúdo finalizou nos 2min iniciais... Abraço!', 'likes': 2}]"
jLybl-9vqZo,"[{'comment_text': 'Excelente!', 'likes': 1}, {'comment_text': '24:00  se eu tentar carregar um arquivo muito grande, pode dar erro de ""encode""?', 'likes': 1}, {'comment_text': 'Mano, você é o CARA! Excelente vídeo, cobre praticamente todos os cenários de CD. Obrigado por compartilhar, saúde e sucesso sempre .', 'likes': 1}, {'comment_text': 'Como converter um json em geojson com python?', 'likes': 1}, {'comment_text': 'Você é muito bom explicando conteúdos técnicos! Show', 'likes': 1}, {'comment_text': 'Obrigada pelo conteúdo!!! Top 😃', 'likes': 1}, {'comment_text': 'Excelente!', 'likes': 1}, {'comment_text': 'Obrigado, Amigo. Você é um amigo', 'likes': 1}, {'comment_text': 'Excelente live. Aula completa! Valeu demais Leon.', 'likes': 2}, {'comment_text': ""Cara, não sou aluno da Let's Data, mas dá até uma ponta de inveja, rss... Sempre conteúdo de qualidade e em PT-BR! E o Leon é bom demais na apresentação.  Parabéns a todos do canal!"", 'likes': 5}]"
ERRnJ3iHRlw,[]
as-cJdkalBU,[]
BztuEQ9ojtc,"[{'comment_text': 'Fenomenal cara!!!', 'likes': 1}, {'comment_text': 'Muito obrigado pelo vídeo! Sua didática é perfeita gratidão total!', 'likes': 1}, {'comment_text': 'Uma dúvida, com arquivo CSV caso o retorno de uma query seja muito grande eu consigo usar o chunkzise para controle, porem é necessário controlar o cabeçalho do arquivo e também o modo de gravação, com arquivo parquet isso também é possivel ?', 'likes': 1}, {'comment_text': 'Boa Noite, muito top o vídeo, estou estudando sobre eesa área de análise de dados e o conteúdo do vídeo é excelente, didática muito boa. Tenho uma dúvida: Tem algum tutorial sobre qual tipo de dados utilizar para obter uma maior eficiência e menor ocupação de memória (ram e de disco). Tipo,  string ou category, qual melhor? E quais os tipos existentes? vi um outro vídeo aqui no Youtube falando sobre esse category, não conhecia!!! Agradeço desde já!!!', 'likes': 1}, {'comment_text': 'Galera, uma dúvida, como ele fez aquilo no minuto 44:06? Dividir em duas células usando o curso como delimitador e mantendo o conteúdo.', 'likes': 0}, {'comment_text': 'Sensacional', 'likes': 1}, {'comment_text': 'Otimo, perfeito video\nFalou tudo que é necessario e sem enrrolação, comentando sobre a parte teorica e mostrando muito sobre como funciona e a parte pratica do sistema', 'likes': 1}, {'comment_text': 'Que canal top, muito obrigado pelos ensinamentos', 'likes': 1}, {'comment_text': 'Muito obrigado por essa aula tão completa. Vai aqui um elogio sincero. ', 'likes': 1}, {'comment_text': 'Faz um vídeo (prático) sobre mlflow', 'likes': 1}]"
slC1OOLQ5CY,"[{'comment_text': 'Excelente episódio! Parabéns a todos!', 'likes': 3}, {'comment_text': 'Parabéns Gabriel que Deus continua te dando sabedoria', 'likes': 4}]"
Bmsf_Lbte3A,[]
1duXDCZYApY,[]
ZUqBuV6Mf9E,[]
JPEMN5bWWV4,[]
BmRMT9OkXzI,[]
